Pivot Entity,Carousel Title,Fact 1,Fact 2,Members,Context,Queries,Header
 November 2008,world of warcraft,70::: 80::: 85::: 90::: 100::: 110::: 120, The Burning Crusade::: Wrath of the Lich King::: Cataclysm::: Mists of Pandaria::: Warlords of Draenor::: Legion::: Battle for Azeroth, January 2007::: November 2008::: December 2010::: September 2012::: November 2014::: August 2016::: August 2018]],:::World of Warcraft:::https://en.wikipedia.org/wiki/World_of_Warcraft:::Expansions,world of warcraft===1:::warcraft===2:::blizzard entertainment games===3,Level Cap:::Title:::Release Date
 Metacritic,world of warcraft,92%78::: 93/10079::: A80::: 9 out of 1081::: 8 out of 1082::: 9.5 out of 1083::: 4.5 out of 584::: 93%81::: 9.5 out of 1010::: 21::: 9.1 out of 1020::: 94%81::: 95%81,, GameRankings::: Metacritic::: 1UP.com::: Edge::: Eurogamer::: Game Informer::: GamePro::: GamesMaster::: GameSpot::: GameSpy::: IGN::: PC Gamer (UK)::: PC Zone]],World of Warcraft:::Reception:::https://en.wikipedia.org/wiki/World_of_Warcraft,world of warcraft===1:::warcraft===2:::blizzard entertainment games===3,Score:::Publication
64.45,cricket world cup winners list, 12::: 2019::: 2019::: 83::: 79::: 80::: 2019::: 38::: 29::: 2015::: 2019::: 21::: 2::: 2::: Scotland::: 2019::: 2015::: 6::: 3::: 3, 69::: 84::: 80::: 59.75::: 58.44::: 49.35::: 89::: South Africa::: 21.42::: 57::: 40::: 35.71::: Netherlands::: Canada::: 2015::: 15::: 11::: 0.00::: 0.00::: 0.00, Australia::: 64.45::: 55.12::: 1975::: 1975::: 1975::: 61.93::: 2019::: 1996::: 21.29::: 35.89::: 2007::: 2011::: 2011::: 14::: 6.66::: 9.09::: 2003::: 2007::: 1975]],:::https://en.wikipedia.org/wiki/Cricket_World_Cup:::Overview:::Cricket World Cup,india national cricket team===5:::cricket world cup===1:::2019 Cricket World Cup===4:::cricket world cup winners list===2:::Cricket World Cup awards===3,Best performance:::Lost:::Tie:::NR:::Total:::Won:::Last Updated: 14 July 2019Source: ESPNcricinfo:::Latest:::Mat.:::Win%*:::First
 Canada,cricket world cup winners list,1975::: 1979::: 1983::: 1987::: 1992::: 1996::: 1999::: 2003::: 2007::: 2011::: 2015::: 2019::: 2023,, Australia::: Canada::: Zimbabwe::: none::: South Africa::: Kenya::: Bangladesh::: Namibia::: Bermuda::: none::: Afghanistan::: none::: TBD]],:::https://en.wikipedia.org/wiki/Cricket_World_Cup:::Debutant teams:::Cricket World Cup,india national cricket team===5:::cricket world cup===1:::2019 Cricket World Cup===4:::cricket world cup winners list===2:::Cricket World Cup awards===3,Year:::Teams
 Highest average race speed,motogp champions history,"Barry Sheene (1977 Belgian motorcycle Grand Prix)27::: Barry Sheene (1977 Belgian motorcycle Grand Prix)27::: Bob McIntyre (1957 Isle of Man Senior TT) 28::: between  Valentino Rossi (367 pts.)and  Marco Melandri (220 pts.)::: between  Giacomo Agostini (46 pts.)and  Mike Hailwood (46 pts.)::: Casey Stoner (between 2007 and 2011)::: Umberto Masetti (1950) Kenny Roberts (1978) Marc MÃÂ¡rquez (2013)29::: Geoff Duke (Norton::: Valentino Rossi (2000::: Valentino Rossi (2000 British Grand PrixÃ¢ÂÂ2017 Dutch TT)::: Phil Read (1964 Ulster Grand PrixÃ¢ÂÂ1973 West German Grand Prix)::: Jorge Lorenzo Marc MÃÂ¡rquez Valentino Rossi Jack Miller Andrea Iannone Cal Crutchlow Maverick ViÃÂ±ales Dani Pedrosa Andrea Dovizioso31::: Jorge Lorenzo (Italian Grand Prix) Valentino Rossi (Catalan Grand Prix) Jack Miller (Dutch TT) Marc MÃÂ¡rquez (German Grand Prix) Andrea Iannone (Austrian Grand Prix) Cal Crutchlow (Czech Republic Grand Prix) Maverick ViÃÂ±ales (British Grand Prix) Dani Pedrosa (San Marino Grand Prix)31::: Leslie Graham (1949)
 Umberto Masetti (1950)::: Nicky Hayden::: Jorge Lorenzo (2013)::: Frank Perris (1961 Argentine Grand PrixÃ¢ÂÂ1971 Isle of Man TT)::: Kenny Roberts (1978 Spanish Grand PrixÃ¢ÂÂ1978 Belgian Grand Prix)::: Jack Findlay::: Valentino Rossi::: Valentino Rossi::: Marc MÃÂ¡rquez (2013)::: Wayne Rainey (1992)::: John Kocinski (1994 Argentine Grand PrixÃ¢ÂÂ1999 Malaysian Grand Prix)::: Alex Barros::: Graeme Crosby  Johann Zarco  Fabio Quartararo::: Valentino Rossi::: Shinichi Ito (1989 Japanese Grand PrixÃ¢ÂÂ2011 Japanese Grand Prix)::: 1969::: 1949"," 220.720ÃÂ km/h (137.149ÃÂ mph)::: 217.370ÃÂ km/h (135.067ÃÂ mph)::: 301.84ÃÂ mi (485.76ÃÂ km)::: 147 (2005)::: 0 (1967)::: 4 years::: 1st::: Gilera) Giacomo Agostini (MV Agusta::: 2006::: 6::: 3::: 9 (2016)::: 8 (2016)::: (1952)
 Nicky Hayden (2006)::: 3::: 8::: 3::: 6::: 15::: 61::: 48::: 9::: 0::: 1::: 136::: 4::: 309::: 8::: 56::: 14", Highest average lap speed::: Highest average race speed::: Longest race distance::: Most points between first and second in the World Championship::: Fewest points between first and second in the World Championship::: Longest time between successive World Championship titles::: Highest finishing position in a World Championship for a rookie (not including 1949)::: Yamaha) Eddie Lawson (Yamaha::: 2014:::195 days:::200 days::: Most race winners in one year::: Most different race winners in consecutive races::: 2::: World Champion with fewest career wins::: Most race wins in one season without becoming World Champion:::527 days::: Most consecutive podium finishes (starting from debut)::: Most podium finishes before a victory::: Most second places::: Most third places::: Most pole positions in a debut season::: Fewest pole positions scored in a Championship-winning season (from 1974):::666 days::: Most races before first pole position::: Most pole positions without a victory::: Most race finishes:::225 days::: Most riders with at least a point in a season::: Fewest riders with at least a point in a season]],:::Others:::https://en.wikipedia.org/wiki/List_of_MotoGP_rider_records:::List of MotoGP rider records,wikipedia motogp records===2:::motogp champions history===3:::motogp riders===1,9:::Rider:::Titles
 Qualia Games,cricket world cup winners list, Games People Play::: Crixa::: Denizen::: Shattered Nations::: Pax Imperia 2::: Raiko::: Warcraft Adventures: Lord of the Clans::: Nomad::: StarCraft: Ghost::: Titan," ""Early 1990s""::: ""Mid 1990s""::: 1990s::: 1996::: August 1996a::: 1998::: 1998::: 1999::: 2005::: 2014b", Blizzard::: Qualia Games::: Sunsoft::: Blizzard::: THQ::: Flextech::: Blizzard::: Blizzard::: Blizzard::: Blizzard]],Games:::https://en.wikipedia.org/wiki/List_of_Blizzard_Entertainment_games:::Cancelled:::List of Blizzard Entertainment games,world of warcraft===3:::warcraft===2:::blizzard entertainment games===1,11:::12:::13:::2023 (10):::1:::2:::3:::4:::5:::6:::7:::8:::9:::10
 ÃÂngel Nieto,motogp champions history, 7::: 0::: 0::: 2::: 0::: 0::: 3::: 0::: 2::: 4::: 0::: 0::: 2::: 0::: 2::: 1::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 1::: 0::: 2::: 2::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 1::: 1::: 1::: 1::: 1::: 1::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0::: 0, 15::: 13::: 9::: 9::: 9::: 8::: 7::: 7::: 6::: 6::: 5::: 5::: 5::: 4::: 4::: 4::: 4::: 4::: 4::: 4::: 3::: 3::: 3::: 3::: 3::: 3::: 3::: 3::: 3::: 3::: 3::: 3::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 2::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1::: 1, Giacomo Agostini::: ÃÂngel Nieto::: Valentino Rossi::: Mike Hailwood::: Carlo Ubbiali::: Marc MÃÂ¡rquez::: John Surtees::: Phil Read::: Geoff Duke::: Jim Redman::: Mick Doohan::: Jorge Lorenzo::: Anton Mang::: Eddie Lawson::: Kork Ballington::: Walter Villa::: Max Biaggi::: Hugh Anderson::: Jorge MartÃÂ­nez::: Stefan DÃÂ¶rflinger::: Kenny Roberts::: Wayne Rainey::: Freddie Spencer::: Bruno Ruffo::: Werner Haas::: Luca Cadalora::: Dani Pedrosa::: Loris Capirossi::: Luigi Taveri::: Pier Paolo Bianchi::: Hans Georg Anscheidt::: Eugenio Lazzarini::: Umberto Masetti::: Barry Sheene::: Casey Stoner::: Gary Hocking::: ÃÂlex CrivillÃÂ©::: Bill Lomas::: Fergus Anderson::: Carlos Lavado::: Sito Pons::: Johann Zarco::: Cecil Sandford::: Tarquinio Provini::: Dieter Braun::: Manuel Poggiali::: Kent Andersson::: Fausto Gresini::: Kazuto Sakata::: Haruchika Aoki::: Jan de Vries::: Ricardo Tormo::: Leslie Graham::: Libero Liberati::: Marco Lucchinelli::: Franco Uncini::: Wayne Gardner::: Kevin Schwantz::: Kenny Roberts::: Nicky Hayden::: Freddie Frith::: Bob Foster::: Keith Campbell::: Johnny Cecotto::: Takazumi Katayama::: Jon Ekerold::: Dario Ambrosini::: Enrico Lorenzetti::: Hermann Paul MÃÂ¼ller::: Rodney Gould::: Kel Carruthers::: Jarno Saarinen::: Mario Lega::: Jean-Louis Tournadre::: Christian Sarron::: John Kocinski::: Tetsuya Harada::: Olivier Jacque::: Daijiro Kato::: Marco Melandri::: Marco Simoncelli::: Hiroshi Aoyama::: Toni ElÃÂ­as::: Stefan Bradl::: Pol EspargarÃÂ³::: Esteve Rabat::: Franco Morbidelli::: Francesco Bagnaia::: Nello Pagani::: Rupert Hollaus::: Tom Phillis::: Bill Ivy::: Dave Simmonds::: Paolo Pileri::: Alessandro Gramigni::: Dirk Raudies::: Emilio Alzamora::: Roberto Locatelli::: Arnaud Vincent::: Andrea Dovizioso::: Thomas LÃÂ¼thi::: ÃÂlvaro Bautista::: GÃÂ¡bor TalmÃÂ¡csi::: Mike Di Meglio::: JuliÃÂ¡n SimÃÂ³n::: NicolÃÂ¡s Terol::: Sandro Cortese::: Maverick ViÃÂ±ales::: Alex MÃÂ¡rquez::: Danny Kent::: Brad Binder::: Joan Mir::: Jorge MartÃÂ­n::: Lorenzo Dalla Porta::: Ernst Degner::: Ralph Bryans::: Henk van Kessel::: Manuel Herreros]],Champions:::By rider:::https://en.wikipedia.org/wiki/List_of_Grand_Prix_motorcycle_racing_World_champions:::List of Grand Prix motorcycle racing World champions,wikipedia motogp records===3:::motogp champions history===1:::motogp riders===2,Details:::Record:::Seasons
 England,world of warcraft, 1975::: 1979::: 1983::: 1987::: 1992::: 1996::: 1999::: 2003::: 2007::: 2011::: 2015::: 3 sixes::: 2023, West Indies291/8 (60 overs)::: West Indies286/9 (60 overs)::: India183 all out (54.4 overs)::: Australia253/5 (50 overs)::: Pakistan249/6 (50 overs)::: Sri Lanka245/3 (46.2 overs)::: Australia133/2 (20.1 overs)::: Australia359/2 (50 overs)::: Australia281/4 (38 overs)::: India277/4 (48.2 overs)::: Australia186/3 (33.1 overs)::: 2019::: , England::: England::: England a::: IndiaÃÂ Pakistan::: AustraliaÃÂ New Zealand::: PakistanÃÂ IndiaÃÂ Sri Lanka::: EnglandÃÂ Wales b::: South Africa c::: West Indies d::: IndiaÃÂ Sri LankaÃÂ Bangladesh::: AustraliaÃÂ New Zealand::: England241 all out (50 overs)15/0 (super over)23 fours::: India]],:::https://en.wikipedia.org/wiki/Cricket_World_Cup:::Results:::Cricket World Cup,india national cricket team===5:::cricket world cup===1:::2019 Cricket World Cup===4:::cricket world cup winners list===2:::Cricket World Cup awards===3,Ref(s):::Title:::Cancellation date:::Developer(s)
 221 runs and 7 wickets,motogp champions history,Martin Crowe::: Sanath Jayasuriya::: Lance Klusener::: Sachin Tendulkar::: Glenn McGrath::: Yuvraj Singh::: Mitchell Starc::: Kane Williamson, 1992::: 1996::: 1999::: 2003::: 2007::: 2011::: 2015::: 2019, 456 runs::: 221 runs and 7 wickets::: 281 runs and 17 wickets::: 673 runs and 2 wickets::: 26 wickets::: 362 runs and 15 wickets::: 22 wickets::: 578 runs]],https://en.wikipedia.org/wiki/Cricket_World_Cup:::Awards:::Man of the tournament:::Cricket World Cup,india national cricket team===5:::cricket world cup===1:::2019 Cricket World Cup===4:::cricket world cup winners list===2:::Cricket World Cup awards===3,Rider:::Age:::10
 138*,motogp champions history,Clive Lloyd::: Viv Richards::: Mohinder Amarnath::: David Boon::: Wasim Akram::: Aravinda de Silva::: Shane Warne::: Ricky Ponting::: Adam Gilchrist::: Mahendra Singh Dhoni::: James Faulkner::: Ben Stokes, 1975::: 1979::: 1983::: 1987::: 1992::: 1996::: 1999::: 2003::: 2007::: 2011::: 2015::: 2019, 102::: 138*::: 3/12 and 26::: 75::: 33 and 3/49::: 107* and 3/42::: 4/33::: 140*::: 149::: 91*::: 3/36::: 84* and 0/20]],https://en.wikipedia.org/wiki/Cricket_World_Cup:::Awards:::Cricket World Cup:::Man of the Match in the Final,india national cricket team===5:::cricket world cup===1:::2019 Cricket World Cup===4:::cricket world cup winners list===2:::Cricket World Cup awards===3,Moto2/250cc1:::CountryName:::Winning span1:::MotoGP/500cc1:::Moto2/250cc:::Moto3/125cc:::350cc1:::80cc/50cc:::RiderName
